Rule,Support,Confidence,Lift,Leverage
also -> thi,0.4038763750654793,0.4038763750654793,1.0,0.5961236249345208
like -> thi,0.4389732844421163,0.4389732844421163,1.0,0.5610267155578836
new -> thi,0.43635411210057623,0.43635411210057623,1.0,0.5636458878994237
one -> thi,0.49869041382922996,0.49869041382922996,1.0,0.50130958617077
thi -> peopl,0.43635411210057623,0.43635411210057623,1.0,0.5636458878994237
state -> thi,0.40859088528025145,0.40859088528025145,1.0,0.5914091147197486
time -> thi,0.4394971189104243,0.4394971189104243,1.0,0.5605028810895757
thi -> would,0.429020429544264,0.429020429544264,1.0,0.570979570455736
