Rule,Support,Confidence,Lift,Leverage
accord -> thi,0.23624934520691462,0.23624934520691462,1.0,0.7637506547930853
american -> also,0.2074384494499738,0.2074384494499738,1.0,0.7925615505500262
also -> ani,0.22996333158721843,0.22996333158721843,1.0,0.7700366684127815
also -> becaus,0.21686746987951808,0.21686746987951808,1.0,0.7831325301204819
also -> call,0.2006286013619696,0.2006286013619696,1.0,0.7993713986380304
also -> come,0.21110529072812992,0.21110529072812992,1.0,0.7888947092718701
could -> also,0.2252488213724463,0.2252488213724463,1.0,0.7747511786275537
also -> day,0.21529596647459404,0.21529596647459404,1.0,0.784704033525406
also -> even,0.2598218962807753,0.2598218962807753,1.0,0.7401781037192248
also -> first,0.21005762179151388,0.21005762179151388,1.0,0.7899423782084861
also -> get,0.22210581456259823,0.22210581456259823,1.0,0.7778941854374017
also -> know,0.20220010476689365,0.20220010476689365,1.0,0.7977998952331063
also -> like,0.27710843373493976,0.27710843373493976,1.0,0.7228915662650602
also -> make,0.23729701414353063,0.23729701414353063,1.0,0.7627029858564693
mani -> also,0.22734415924567836,0.22734415924567836,1.0,0.7726558407543216
also -> new,0.28129910948140385,0.28129910948140385,1.0,0.7187008905185961
one -> also,0.321110529072813,0.321110529072813,1.0,0.678889470927187
also -> onli,0.25405971712938713,0.25405971712938713,1.0,0.7459402828706129
also -> peopl,0.27606076479832375,0.27606076479832375,1.0,0.7239392352016762
report -> also,0.21529596647459404,0.21529596647459404,1.0,0.784704033525406
also -> said,0.24410686223153483,0.24410686223153483,1.0,0.7558931377684652
say -> also,0.24567836563645887,0.24567836563645887,1.0,0.7543216343635412
also -> state,0.26663174436877946,0.26663174436877946,1.0,0.7333682556312205
take -> also,0.22629649030906235,0.22629649030906235,1.0,0.7737035096909377
also -> thi,0.4038763750654793,0.4038763750654793,1.0,0.5961236249345208
also -> time,0.27763226820324777,0.27763226820324777,1.0,0.7223677317967523
also -> two,0.21686746987951808,0.21686746987951808,1.0,0.7831325301204819
use -> also,0.24148768988999475,0.24148768988999475,1.0,0.7585123101100053
also -> way,0.2032477737035097,0.2032477737035097,1.0,0.7967522262964903
work -> also,0.21005762179151388,0.21005762179151388,1.0,0.7899423782084861
world -> also,0.2074384494499738,0.2074384494499738,1.0,0.7925615505500262
also -> would,0.2828706128863279,0.2828706128863279,1.0,0.7171293871136721
year -> also,0.24986904138292299,0.24986904138292299,1.0,0.750130958617077
thi -> america,0.21162912519643792,0.21162912519643792,1.0,0.788370874803562
american -> even,0.20639078051335777,0.20639078051335777,1.0,0.7936092194866422
american -> like,0.21896280775275012,0.21896280775275012,1.0,0.7810371922472499
american -> new,0.22053431115767416,0.22053431115767416,1.0,0.7794656888423258
one -> american,0.25405971712938713,0.25405971712938713,1.0,0.7459402828706129
american -> onli,0.20115243583027764,0.20115243583027764,1.0,0.7988475641697224
american -> peopl,0.2399161864850707,0.2399161864850707,1.0,0.7600838135149293
american -> state,0.24201152435830278,0.24201152435830278,1.0,0.7579884756416972
american -> thi,0.3106338397066527,0.3106338397066527,1.0,0.6893661602933473
